NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,408.496178211786
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,475.76667075297166
b38a03232f43b11c9d0788abaf060f7366053b6d,468.64420895514763
715494628a50142ce8cb17191cfe6d0f3cae0934,457.6058357067186
e656d6bad65c93fb2880f1eba5037008c8e75774,460.3944082289025
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,480.1472845343444
11539e86171bf07d3a36f09377d7f54ebcc8406a,409.7627865923598
043c544a2104aa8a9849f1a703a08d37a2f16839,529.2778650180176
76ba050e64ad100b856f0eaabd8f539d5c7dd185,472.05246986815905
940aede382ccb332fab15d413217695ec44ca765,430.9534173925477
9ad714b116da76d878dd399d187fccc2dd13dd63,519.0054914984966
dd34464a4d780b12a089347ad580418ac57a3055,441.8469867111198
f837a4cb05a5fd59d20138182f5e8c721eadd584,462.1510019817604
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,432.0711267400976
3d203727f27abd83b71732d88d8cb1cc099f363b,417.5762725644359
cbc301183dec912f3513ca766bf03dd565f3a38f,436.14508646826795
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,551.6179937827329
11282da1ee78c8db45a041db4c744e33df489df0,445.94206877839446
03c67f683a415c2ea09b582248bd4cb08528c19d,558.3246124899338
046e844fb06a07ba30b41521f0065a8d9c6e5024,430.6345739060904
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,401.387883532896
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,408.68447121569307
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,513.1369540300867
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,466.26818121848834
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,517.8480736839286
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,464.4137987058985
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,474.13642937702537
59bfa081e020013410d9f60f91813964ba749bb2,431.63423190843423
f5e069ee3bc95998464e8ff5da048b7f999921ed,435.65231115949996
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,575.4368279540445
664f44258212a1f7e4086f2b4845d586c543fa3f,449.39869889554825
265cd7befa74a9f2a198fc57baec9858075f8419,399.61783622032993
6f9ac44919bbd204e0ef15185388fd2d4bc61253,474.07349346288026
78de1ee60b55766cc3eba4089e36c57139b66ebd,440.36902016072656
1e61a474acdc043eb39a89c17fab34bd2ea1a940,398.434818582346
940af68ded6af2875708611051aa7ff3f134d80b,466.91297583448284
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,394.5810466143299
c76ddf6e9f80984e901b12f9462a3cf029bea290,488.6232554888129
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,437.0051361467147
92823d467a2ced9529801e0e8a94802dd88f0c17,429.4029324281438
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,498.8355097554595
413cbb38b2e2522f8167ffb9daeac1347b281393,480.2923605228113
68985fad004092956a4b4ce94dd53dc76d07eaf7,492.4400210184949
bdca9aeb19521675af15f2c28d86f6bebc45a834,546.6525040033331
b65b19d42b7a4b644fe9f99366dcb37b120862d9,461.25337471894363
eda898aa8ec465cbac70de72ead0c6d688e5f95a,451.9490785420619
8d5c4481d736f6ce27976e400f4245bf10757608,471.97342540071156
c4cea54435c0fd0e171eed4c215479bb3ca86113,391.923179691466
7d5cd89c6112b9a202a025a24355135bc60848c6,462.6756975719013
b70ab62384aa80545928a311f5b5d3db2f4d87ee,499.6663131452617
c96431dd924f366d2229a7f1455388b8cd85be49,581.4298720382726
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,376.9103769127655
e724482370ae6126008ade80b564ad8d8a0a7cbd,477.3495809811003
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,527.9319392192714
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,459.17859735373315
7f898f8939ae054359f83ee154bb91bc7dd2c959,505.70239991731745
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,457.48326267887086
82e3b12c6366008fabc238f299f117074e78de5d,413.59407020366524
0d838be0e718ceb786cdb10fcc12559e00440240,476.19509922943325
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,450.4251209920825
c83fe640ba466ba904ac1055e53a875289888797,470.1981395497363
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,433.70848183203793
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,444.56970537086715
328639a0c753715c30a58bae70c82f2101153eb3,419.90108415575503
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,520.9044488549761
f56746cc2900258507d2b32c126f8db090db856f,430.9645172565054
1a4963b5fea8bb25c67750cdafbe84b01efad177,419.37534534729286
b520c940e62f4ed684417e7eacf00d85752060da,439.87450881256507
2e170cf2651ed448991af6fc5df15167733b2d8f,428.0772457000536
6efdd93a0ae289be6bb5a400bfc1deb077d75886,415.0272510282099
72ac2acc787d8cba0934cca3810ac091d792c8db,432.97852545849605
92a25eee14554806f081869cc9dac868fd1860fb,440.87041537085474
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,386.05186336272175
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,450.47532984377744
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,503.9393092279284
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,484.93098616683613
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,455.3361801962441
1a46d99716282410d1170f0f35069b34e34415d4,395.1891300594286
0467e022da4ef897f666bc76f31e1bc8976f7e92,531.6910847280149
993aca0d5eac6741117947c82a3647102096255e,473.7008998991257
94c96ade6ade21deb080bba6aad537fc4f195d47,461.46193328315496
36bb672077a46a3e4755cef90437a616d28bdf23,412.5662735318695
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,383.54448563306266
328ca19128d276eb4fbc309c54ec7f346c803d2f,601.9922400485707
27cdb62f0a2a5467efeb30aafbf246ed2320c532,400.559707443296
f9ef2695eb0986666093945894b8f2fee351bf22,445.2759626610044
8a021391cdaac100dab56c59284bd50137a74129,539.992879926209
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,472.9750418921838
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,491.00595853496327
b9f786712775e0d1d735398d710b01f404c985a3,465.59638247586616
564958997e204bda06fbe90afc4722805c78a855,485.10369148195673
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,426.10611429292317
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,461.5467519099162
8296743fdd105ce9183561cf5b359b0a3781465e,429.7859549843745
6602c7f15a1fdd082265b64976448c6809df792d,444.50018217745503
31ae66f0fe024acae4490915c348e487f2367574,500.0217906406501
81901aa980653106e64863d957387d24e2c00af3,382.78439903271004
28e10d1bd0b6effe0edd503446ebda948ad240ad,467.38710005065496
53a7ee52a87f80241e2ca13c923e06b72bf3a059,403.4047199306764
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,581.9849805066904
02681b5c893b94db204713cb4b20dde6fc3f2f95,533.6681482763408
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,422.2952381169497
28c6829e69879bc1d34db1cd51b89562d3cc596b,472.20628941368966
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,502.0486169152284
923538833160e8432636c88e8119378a43b3d766,426.6615715870198
aacb834258765a2959ee63c57d2be4923d11a696,414.164654543413
c32e484025571dd94255a77f21de08ab8d2aaba8,430.6308847164388
d425deeec0a3c7006f14d732eff8933d5155067f,453.80789328604146
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,482.5345997347998
716a178e9a6f7791b820da77879943ac9040a547,439.31361142026685
430212cd8767ef2bff8cda0f61729203fef7523e,404.7380621996205
e97d33221238e445688a0e984778d4ecac788be2,497.76358977156104
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,473.4609384177811
0411742cbb54fe1b6927b25f0bb52b885828c828,376.31494805818033
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,409.83076174975514
e4e7a38b58319ad0a5cde4848622b21783c907e9,451.71012062655876
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,489.40912379683346
aec1b63c3f0c9554e533752d8fe138ca82101d4a,377.2377122940444
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,473.83923887129185
4b48d500ba4410546ce01f7f6d44bcbafa73994f,431.94624650961794
edf33c347c866d26872f540bcc1f6ae415f3294c,469.299613388549
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,500.8796799229998
3a265ea6ebdc4eb2520db912adf5592f03b3d634,426.63817983401054
e418fbb77e6ff4103205f3b7f6a66d53183d809b,398.9097578696692
8ddbfe70cd41135cb6f125335a48d100789edbf7,506.08930531929246
1d3e406d0223d4cb0328850d689ba9fcadf62776,393.8548249946583
ecaf075653faf2dcdf946c0ce50629f5083347c0,388.11938283210486
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,428.9330951524319
5b7877d12550dd35d27a02b66a13f2a27bce11ca,391.2165895594461
18f800ec03e33ebad5fb97aa8465dd3e5961337e,448.66822283334443
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,403.51357010532854
cc8794762ffa592758b5117d67e0d02e2e8b9c49,528.0865814633464
894d277c608610fa8c31db531f64582b9569b2e9,434.71853755462917
b2e029961aa0f20071b74708e0d97e6f200ec582,463.41631218946156
12c7d85e168b09a0278df140a22bcb0052a59b0a,399.1832681848806
64c4892488a9c6281bdabf467a0b5a6382d248e6,409.66063381867195
ac112e94587e6e4249b7182329ee5a5040ae94ea,513.4354263072555
a58cf11e498228f9aaca92b0c49f955a6163fb59,437.0736194070329
e8c84701c041b7f3b39f3125a0449fa633589fbe,409.13293537586526
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,585.2872416325615
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,405.4078196111782
e64ad901853230e396be49311ea98121c348fac6,427.9577261652425
8532af19be3729ea233c1f29e4c015820fc7fb3a,501.9552674046329
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,430.28086585490183
26853fd075fe27954772c3070997635b94f32b83,471.3067281957192
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,448.52767265691136
574ec310dee846f9ae8eb278480257d463f6fbcc,450.2815661674066
8a46e35787225c3e7adef2b998ad9c93a952106b,491.08435936095714
b62bf908b504e8c6898777a7f5b88afed358caea,403.22643460297786
10d22971ca4f53fc62d02905809ff1c37fbb68fc,505.80719649061086
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,402.9846757117473
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,524.898549993909
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,465.0825825175147
d76614020539405f481c0f5ffb9e6f88a0bf21b7,413.32608045094776
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,484.63485347059094
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,498.4217077775517
176b027cd932b17fcb6f119cfcef338a175062b8,437.76228706406516
41474f2dda61d97f38ba79906d3dbcce223d1bd1,438.22092455097845
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,378.153113015587
d4e97da32ccb6987ec074aa48c24ce949c05a78c,400.7190599426715
95c1d266a2524560761df98b376c17604733a6ad,416.51863601540265
c11c4303d2632cde64105a35554ecb77a8564260,467.340015892635
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,489.0132535056707
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,427.761392386926
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,385.9043569325438
580c34923cbde328e0aef1641dd02033fc862c04,470.4665269547392
29d8bf198da9caa59047268faca60207da24d1b7,488.0148086602578
1b3f80a1cd9fff0408e96169fcaf006936b34fed,499.49396732598365
b5932043b62e0c58e16e2cc2c9d5489390e5c895,510.25499595128656
99092cc60948943c59d68d62ed81a75a03059113,460.87464551376013
dd69fca6f17420dc911016a79e70583ca7ea330d,405.1299668655591
d387995af060965fb9d18973f3dbf4904f071066,420.0759067985524
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,446.9121426857965
543674772357cf9d8a7a8e7dfb89384af80ec30e,481.97639666646387
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,404.52682344923335
0736d379ea0962e316ce84cce8e883321be36abb,462.2675175486813
98cc842c547c69a0d27776e272fd8b61131b0b37,457.24914674690126
890b7696fa85ca2b3e90b3951efec2135e88d5cf,462.2822254177639
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,558.1814400577202
d84b48f7dc7a6e387e6e985525143589754c5b13,394.4193522201447
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,432.8604584941079
dc4fe9d4124d9278f58f6f999711116a3fe58be7,417.86679196661896
f6624d763619c0898b34dc02adf06f53a1721cd0,457.22781517687395
60b1c12559860e7ad966da4c4db5c78e17278fc0,398.9094085009045
4f365503582b97ea96462d0d36895a5e7f5926df,445.495976681823
c80869804effb21d50cc8fff3f4c27ba5521240c,463.94383609978803
d0f351638d60e84b890a498d69c9a7961cdcdf36,441.68129349615214
48e8ec135997ff3676648d5c144c3c7150a7bbb1,375.3994262615355
45484014aefd10ea3e4b08fb93e66c251709cca6,442.00912338254454
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,491.60214572728626
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,412.89990471518513
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,524.9410102592485
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,371.2155593147474
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,529.4889219465691
c83c66733c5bd90a59996e473bb69e44f6522976,385.82381954181324
87f89c855f377c5b100ad2986cc6569e31d94a98,441.68302527670545
eaecf3dd32668664e1dcc2d6c7a69042824806a6,471.39297534437765
c59b370d3aa06b68878c836bceac844953d74972,447.79547031937204
b2128312e70fdb830091aecb6b27d82617e2e226,416.9098938173963
8257941af168c0cc15f28bd596fd922352dae732,444.46111193498973
